,date,title,link
32,20061011,BROOKLYN: WORKERS INJURED IN LIFT ACCIDENT - The New York Times,https://www.nytimes.com/2006/10/11/nyregion/11mbrfs-003.html?searchResultPosition=120
33,20120404,M.T.A. Halts Work on Manhattan Subway Extension After a Crane Collapse - The New York Times,https://www.nytimes.com/2012/04/05/nyregion/mta-halts-work-on-manhattan-subway-extension-after-a-crane-collapse.html?searchResultPosition=121
34,20071020,"Construction Booms, and Gonzalo Takes a Fall - The New York Times",https://www.nytimes.com/2007/10/20/nyregion/20about.html?searchResultPosition=127
35,20080326,Two Workers Are Killed in Miami Crane Accident - The New York Times,https://www.nytimes.com/2008/03/26/us/26crane.html?searchResultPosition=129
36,20080531,An Accident Fuses Two Workers’ Lives Forever - The New York Times,https://www.nytimes.com/2008/05/31/nyregion/31victim.html?searchResultPosition=137
37,20080423,City’s Buildings Chief Resigns as Outcry on Accidents Grows - The New York Times,https://www.nytimes.com/2008/04/23/nyregion/23lancaster.html?searchResultPosition=140
38,20120403,One Is Killed and Four Are Hurt in Crane Collapse on West Side - The New York Times,https://www.nytimes.com/2012/04/04/nyregion/one-killed-and-four-hurt-in-crane-collapse-on-west-side.html?searchResultPosition=142
39,20170910,Construction Cranes in Miami Become Multi-Ton Threats During Irma - The New York Times,https://www.nytimes.com/2017/09/10/us/crane-collapse-miami-irma.html?searchResultPosition=143
40,20070823,Accident at Deutsche Bank Building Injures 2 - The New York Times,https://www.nytimes.com/2007/08/23/nyregion/23cnd-deutsche.html?searchResultPosition=150
41,20070706,Colorado: Roof Collapse Injures 13 - The New York Times,https://www.nytimes.com/2007/07/06/us/06brfs-ROOFCOLLAPSE_BRF.html?searchResultPosition=153
42,20080601,Crane Collapses Prompt Questions on the Mayor’s Oversight - The New York Times,https://www.nytimes.com/2008/06/01/nyregion/01towers.html?searchResultPosition=161
43,20080502,The Hard Hat Passes to a New Commissioner - The New York Times,https://www.nytimes.com/2008/05/02/nyregion/02lives.html?searchResultPosition=167
44,20080402,Look Out Below: Glass Panel Falls From 27th Floor - The New York Times,https://www.nytimes.com/2008/04/02/nyregion/02glass.html?searchResultPosition=175
45,20041124,Plank Hits Passer-by at Midtown Building Site - The New York Times,https://www.nytimes.com/2004/11/24/nyregion/plank-hits-passerby-at-midtown-building-site.html?searchResultPosition=182
46,20080315,"Crane Topples in Manhattan, Killing at Least 4 People - The New York Times",https://www.nytimes.com/2008/03/15/nyregion/15cnd-crane.html?searchResultPosition=186
47,20150122,"As Construction Booms, Edgewater Fire Provides a Sobering Moment - The New York Times",https://www.nytimes.com/2015/01/23/nyregion/edgewater-fire-leaves-homeless-tenants-distraught.html?searchResultPosition=187
48,20060628,Two Rescued From Cave-In at Construction Site in Brooklyn - The New York Times,https://www.nytimes.com/2006/06/28/nyregion/28rescue.html?searchResultPosition=192
49,20080116,Many Violations for Employer of Worker Who Died in a Fall - The New York Times,https://www.nytimes.com/2008/01/16/nyregion/16building.html?searchResultPosition=201
50,20190408,"7 Stories Up, a ‘Coping Stone’ Strikes Construction Worker, Killing Him - The New York Times",https://www.nytimes.com/2019/04/08/nyregion/construction-worker-death-nyc-midtown-east.html?searchResultPosition=202
51,20040930,Construction Worker Dies in Fall at Trade Center Site - The New York Times,https://www.nytimes.com/2004/09/30/nyregion/construction-worker-dies-in-fall-at-trade-center-site.html?searchResultPosition=204
52,20060628,Two Rescued From Cave-In at Construction Site in Brooklyn - The New York Times,https://www.nytimes.com/2006/06/28/nyregion/two-rescued-from-cavein-at-construction-site-in-brooklyn.html?searchResultPosition=208
53,20071018,A Hail of Debris Injures 8 in Midtown - The New York Times,https://www.nytimes.com/2007/10/18/nyregion/18accident.html?searchResultPosition=212
54,20060628,Two Rescued From Cave-In at Construction Site in Brooklyn - The New York Times,https://www.nytimes.com/2006/06/28/nyregion/28buried.html?searchResultPosition=216
55,20120330,Worker Falls Off Throgs Neck Bridge - The New York Times,https://www.nytimes.com/2012/03/31/nyregion/worker-falls-off-throgs-neck-bridge.html?searchResultPosition=219
56,20080520,"From Cracks to Falling Cranes, a Big Job for Building Inspectors - The New York Times",https://www.nytimes.com/2008/05/20/nyregion/20inspect.html?searchResultPosition=220
57,20080905,City Suspends Rigger’s License After Fatal Fall From Crane - The New York Times,https://www.nytimes.com/2008/09/06/nyregion/06crane.html?searchResultPosition=222
58,20080531,"Crane Collapse, 2nd Since March, Kills 2 Workers in Manhattan - The New York Times",https://www.nytimes.com/2008/05/31/nyregion/31collapse.html?searchResultPosition=228
59,20111108,Unfinished Brooklyn Building Falls on Construction Workers - The New York Times,https://www.nytimes.com/2011/11/09/nyregion/unfinished-brooklyn-building-falls-on-construction-workers.html?searchResultPosition=234
60,20040405,High Winds Blow Metal Sheets Off Skyscraper - The New York Times,https://www.nytimes.com/2004/04/05/nyregion/high-winds-blow-metal-sheets-off-skyscraper.html?searchResultPosition=252
61,20080530,Fatal Manhattan crane collapse shakes city - The New York Times,https://www.nytimes.com/2008/05/30/world/americas/30iht-30crane.13346308.html?searchResultPosition=255
