"id","pubyear","title"
"WOS:000262104700608","2008","Epigenetic Silencing of BIM Mediates Chemotherapy Resistance of Patients with Burkitt Lymphoma That Can Be Overcome by Therapeutic Reactivation of BIM in Mouse and Human Lymphoma Models"
"WOS:000259682100012","2008","TGF beta-mediated BIM expression and apoptosis are regulated through SMAD3-dependent expression of the MAPK phosphatase MKP2"
"WOS:000255387400043","2008","IL-21 mediates apoptosis through up-regulation of the BH3 family member BIM and enhances both direct and antibody-dependent cellular cytotoxicity in primary chronic lymphocytic leukemia cells in vitro"
"WOS:000258398900157","2008","A smart indoor navigation solution based on Building Information Model and Google Android"
"WOS:000256835000006","2008","Integrating construction process documentation into building information modeling"
"WOS:000258235200069","2008","Ablation of the BH3-only protein BIM does not protect hippocampal neurons against acute excitotoxic stimuli"
"WOS:000252855600008","2008","Reed's acquisition of tectonic could accelerate BIM revolution"
"WOS:000252162300014","2008","Integrating urban GIS, CAD, and BIM data by service-based virtual 3D city models"
"WOS:000207877600010","2008","Reactions mixed as BIM issues EIS for oil shale"
"WOS:000259352300010","2008","Oncogenic BRAF(V600E) inhibits BIM expression to promote melanoma cell survival"
"WOS:000254729400036","2008","A Combination of BIM and BEM for efficiently analyzing optical elements - art. no. 662411"
"WOS:000210017600018","2008","CASE STUDIES IN BIM IMPLEMENTATION FOR PROGRAMMING OF HEALTHCARE FACILITIES"
"WOS:000262502700110","2008","Implementation of Building Information Modeling: Current Status and Desired Status"
"WOS:000259013700001","2008","Critical role for BIM in T cell receptor restimulation-induced death"
"WOS:000261006600010","2008","An investigation into the applicability of building information models in geospatial environment in support of site selection and fire response management processes"
"WOS:000258743700080","2008","Streamlining the data transformation process for construction projects via Building Information Modeling"
"WOS:000253973500194","2008","Shifting the curve to the left: Student response to BIM in the classroom"
"WOS:000262290400007","2008","A Study on Application of BIM(Building Information Modeling) to Pre-design in Construction Project"
"WOS:000258743700040","2008","Automated 3D data collection (A3DDC) for 3D building information modeling"
"WOS:000260212900310","2008","Development and maintenance of T-cell requires post-translational regulation of anti-apoptotic MCL-1 and pro-apoptotic BIM by IL-7"
"WOS:000259330600059","2008","Real-time simultaneous collaboration in the BIM repository"
"WOS:000258743700089","2008","Application of building information modelling and construction process simulation ensuring Virtual Project Development concept in 5D environment"
"WOS:000261935300006","2008","Syntheses, crystal structures and properties of two cadmium coordination polymers containing bis(2-methylimidazol-1-yl) methane(2-mBIM) and bis(imidazol-1-yl)methane (BIM) ligands"
"WOS:000253426401213","2008","Fluticasone furoate nasal spray (FFNS) has negligible impact on health plan budgets: Output from a budget impact model (BIM)"
"WOS:000210017600021","2008","CASE STUDIES OF BIM ADOPTION FOR PRECAST CONCRETE DESIGN BY MID-SIZED STRUCTURAL ENGINEERING FIRMS"
"WOS:000266703300014","2009","Using geometrical and topological modeling approaches in building information modeling"
"WOS:000334282200008","2009","Building Information Modeling in the Architectural Design Phases And Why Compulsory BIM Can Provoke Distress Among Architects"
"WOS:000210021300017","2009","LIFECYCLE MANAGEMENT OF FACILITIES COMPONENTS USING RADIO FREQUENCY IDENTIFICATION AND BUILDING INFORMATION MODEL"
"WOS:000266703300016","2009","Going BIM in a commercial world"
"WOS:000269496002234","2009","Induction of BIM Is essential for apoptosis triggered by EGFR kinase inhibitors in mutant EGFR-dependent lung adenocarcinomas"
"WOS:000281119901124","2009","Study on the Application of BIM Technology in Green Projects"
"WOS:000268267000004","2009","Impact of BIM Technology on Architects Phillip Bernstein, Vice President at Autodesk"
"WOS:000262956200007","2009","Building information model based energy/exergy performance assessment in early design stages"
"WOS:000265236700494","2009","A BUDGET IMPACT MODEL (BIM) TO ASSESS THE IMPACT ON THE ITALIAN NATIONAL HEALTH SERVICE (INHS) BUDGET OF THE INTRODUCTION OF MIMPARA (CINACALCET) IN THE NEW INDICATION PRIMARY HYPERPARATIROIDISM (PHPT)"
"WOS:000272420600018","2009","Structure of the cell wall polysaccharides of probiotic bifidobacteria Bifidobacterimum bifidum BIM B-465"
"WOS:000266703300073","2009","Decomposition of BIM objects for scheduling and 4D simulation"
"WOS:000210021300038","2009","EDITORIAL-BUILDING INFORMATION MODELING APPLICATIONS, CHALLENGES, AND FUTURE DIRECTIONS"
"WOS:000267342300014","2009","CD95, BIM and T cell homeostasis"
"WOS:000266703300017","2009","Mapping between architectural and structural aspects in the IFC based building information models"
"WOS:000262774900001","2009","Erythropoietin-induced phosphorylation/degradation of BIM contributes to survival of erythroid cells"
